point1,point2,Feet,Inches,distance,NOTES
D1,D2,19,6,19.5,"rails to fence, p. 1"
D2,C2,47,3,47.25,
C2,D1,44,,44,
C2,C1,16,1,16.0833333333,
C1,D1,48,3,48.25,
D2,C3,41,9,41.75,
C3,C2,15,9,15.75,
D2,C4,42,5,42.4166666667,
C4,C3,15,9,15.75,
D2,D3,19,6,19.5,
D3,C4,39,5,39.4166666667,
D3,C5,39,7,39.5833333333,
C5,C4,15,11,15.9166666667,
D3,D4,19,,19,Guess
D4,C5,38,,38,
D4,C6,37,2,37.1666666667,
C6,C5,16,,16,
D4,D5,19,,19,Guess
D5,C6,37,6,37.5,
C6,D4,37,2,37.1666666667,
D5,C7,35,9,35.75,
C7,C6,15,9,15.75,
D5,D6,16,3,16.25,
D6,C7,37,,37,
D6,C8,35,4,35.3333333333,
C8,C7,15,11,15.9166666667,
D6,D7,21,11,21.9166666667,
D7,C8,39,0,39,
D7,C9,35,4,35.3333333333,
C9,C8,15,11,15.9166666667,
D7,C10,38,10,38.8333333333,
C10,C9,15,10,15.8333333333,
D7,D8,20,6,20.5,
D8,C10,36,5,36.4166666667,
D8,C11,38,10,38.8333333333,
C11,C10,16,1,16.0833333333,
D8,D9,18,6,18.5,
D9,C11,37,11,37.9166666667,
D9,C12,39,10,39.8333333333,
C12,C11,16,0,16,
D9,D10,21,4,21.3333333333,
D10,C12,41,5,41.4166666667,
D10,C13,41,4,41.3333333333,
C13,C12,15,11,15.9166666667,
D6,T8,,,9,"placing trees for thicket measurements, p.1"
T8,D7,,,12.9166666667,
D7,T9,,,9,
T9,D8,,,11.5,
T8,T9,,,21.9166666667,
T8,T10,21,10,21.8333333333,"thicket measurements, p.1"
T10,T9,16,10,16.8333333333,
T10,T11,19,0,19,
T11,T9,31,0,31,
T10,T12,32,5,32.4166666667,
T12,T11,14,8,14.6666666667,
T11,T13,21,10,21.8333333333,
T13,T12,8,9,8.75,
T12,T14,24,2,24.1666666667,
T14,T13,16,7,16.5833333333,
T14,T16,7,6,7.5,
T16,T13,20,0,20,INVENTED
T14,T15,8,0,8,
T15,T16,5,2,5.1666666667,
T15,T16.2,13,2,13.1666666667,
T16.2,T16,11,5,11.4166666667,
T15,T17,26,0,26,
T17,T16.2,13,6,13.5,
T17,T18,17,5,17.4166666667,
T18,T16.2,19,9,19.75,
T17,T19,16,4,16.3333333333,
T19,T18,30,1,30.0833333333,
T19,T20,25,0,25,CORRECTION: It said 55'11”
T20,T18,54,7,54.5833333333,
T20,T21,14,8,14.6666666667,
T21,T19,27,9,27.75,
